####################################

 List of all DLCs Code Names in BL2
 Made by PhantomNatsu (Natsu235)

####################################



Description                                                            Code Name                           Object Name

Captain Scarlett and her Pirate's Booty                                Orchid                              GD_Orchid
Creature Slaughterdome                                                 ?                                   ?
Mr. Torgue's Campaign of Carnage                                       Iris                                GD_Iris
Mechromancer Pack                                                      Tulip                               GD_Tulip
Sir Hammerlock's Big Game Hunt                                         Sage                                GD_Sage
Collector's Edition Pack                                               POCollectors                        ?
Tiny Tina's Assault on Dragon Keep                                     Aster                               GD_Aster
Ultimate Vault Hunter Upgrade Pack 1                                   Gladiolus                           GD_Gladiolus
Ultimate Vault Hunter Upgrade Pack 2: The Raid on Digistruct Peak      Lobelia                             GD_Lobelia
Psycho Pack                                                            Lilac                               GD_Lilac
Headhunter 1: Bloody Harvest                                           Flax                                GD_Flax
Headhunter 2: Wattle Gobbler                                           Allium                              ?
Headhunter 3: Mercenary Day                                            Allium                              ?
Headhunter 4: Wedding Day Massacre                                     Nasturtium                          ?
Headhunter 5: Son of Crawmerax                                         Nasturtium                          ?
Ultra HD Texture Pack                                                  Mancana                             ?

Community Day 2013 Customizations                                      CommDay2013                         ?
Costume Pack 1                                                         Gardenia01                          ?
Costume Pack 2                                                         Gardenia04                          ?
Costume Pack 3                                                         Gardenia05                          ?
Loot Chest 2 Customizations                                            LootChest2                          ?
Pre-Sequel Customizations                                              Peony                               ?
Poker Night at the Inventory 2 Customizations                          PN2                                 ?
