######################################
#                                    #
#   List of all DLC packages names   #
#                                    #
######################################



Description                                                        Package Name                        Code

Unused Pre-Order DLC 1 (UNUSED)                                    ?                                   ?
Unused Pre-Order DLC 2 (UNUSED)                                    ?                                   ?
Unused Pre-Order DLC 3 (UNUSED)                                    ?                                   ?
Captain Scarlett and her Pirate's Booty                            Orchid                              GD_Orchid
Creature Slaughterdome                                             ?                                   ?
Creature Dome (UNUSED)                                             ?                                   ?
Mr. Torgue's Campaign of Carnage                                   Iris                                GD_Iris
Mechromancer Pack                                                  Tulip                               GD_Tulip
Premiere Club (UNUSED)                                             ?                                   ?
Sir Hammerlock's Big Game Hunt                                     Sage                                GD_Sage
Collector's Edition Pack                                           POCollectors                        ?
Collectors Edition (UNUSED)                                        ?                                   ?
Tiny Tina's Assault on Dragon Keep                                 Aster                               GD_Aster
Ultimate Vault Hunter Upgrade Pack 1                               Gladiolus                           GD_Gladiolus
Ultimate Vault Hunter Upgrade Pack 2: The Raid on Digistruct Peak  Lobelia                             GD_Lobelia
Psycho Pack                                                        Lilac                               GD_Lilac
Headhunter 1: Bloody Harvest                                       Flax                                GD_Flax
Headhunter 2: Wattle Gobbler                                       Allium                              ?
Headhunter 3: Mercenary Day                                        Allium                              ?
Headhunter 4: Wedding Day Massacre                                 Nasturtium                          ?
Headhunter 5: Son of Crawmerax                                     Nasturtium                          ?


Community Day 2013 Skins                                           CommDay2013                         ?
Skins Pack 1                                                       Gardenia01                          ?
Skins Pack 2                                                       Gardenia04                          ?
Skins Pack 3                                                       Gardenia05                          ?
Skins                                                              LootChest2                          ?
Pre-Sequel Skins                                                   Peony                               ?
Skins                                                              PN2                                 ?
