[0103.93] Log: Obj List: obj list
[0103.93] Log: Objects:
[0103.93] Log: 
[0104.32] Log:                                                                                                 Class  Count   NumBytes   MaxBytes   ResBytes TrueResBytes
[0104.32] Log:                                                                                           ShaderCache      2      13789K      13929K          0K          0K
[0104.32] Log:                                                                                          SkeletalMesh     32       8692K       8692K       8692K          0K
[0104.32] Log:                                                                                              Function  19851       6232K       6611K          0K          0K
[0104.32] Log:                                                                                              SwfMovie    173       4777K       4777K          0K          0K
[0104.32] Log:                                                                                               Package   4252       3396K       3396K          0K          0K
[0104.32] Log:                                                                                            StaticMesh    166       3330K       3330K       3330K          0K
[0104.32] Log:                                                                                                 Class   3408       2397K       2419K          0K          0K
[0104.32] Log:                                                                                        ObjectProperty  13417       1781K       1781K          0K          0K
[0104.32] Log:                                                                                          AnimSequence    429       1646K       1646K       1529K          0K
[0104.32] Log:                                                                                          BoolProperty  11379       1511K       1511K          0K          0K
[0104.32] Log:                                                                                        StructProperty  11206       1488K       1488K          0K          0K
[0104.32] Log:                                                                         DownloadableContentEnumerator      1       1133K       1156K          0K          0K
[0104.32] Log:                                                                     UsableCustomizationItemDefinition    975        990K        990K          0K          0K
[0104.32] Log:                                                                                         FloatProperty   7461        932K        932K          0K          0K
[0104.32] Log:                                                                            BehaviorProviderDefinition    748        791K        795K          0K          0K
[0104.32] Log:                                                                                           IntProperty   6121        765K        765K          0K          0K
[0104.32] Log:                                                                              MaterialInstanceConstant    939        725K        728K          0K          0K
[0104.32] Log:                                                                                             GuidCache     20        680K        680K          0K          0K
[0104.32] Log:                                                                                      ParticleLODLevel   3468        642K        642K          0K          0K
[0104.32] Log:                                                                                           StrProperty   4273        534K        534K          0K          0K
[0104.32] Log:                                                                         MissionObjectiveSetDefinition   1615        522K        522K          0K          0K
[0104.32] Log:                                                                                               AkEvent   5954        511K        511K          0K          0K
[0104.32] Log:                                                                                         ArrayProperty   3774        501K        501K          0K          0K
[0104.32] Log:                                                                                          ByteProperty   3682        489K        489K          0K          0K
[0104.32] Log:                                                                    WeaponPartListCollectionDefinition    641        467K        468K          0K          0K
[0104.32] Log:                                                                       AttributePresentationDefinition   1542        461K        461K          0K          0K
[0104.32] Log:                                                                                PackageAssetSublibrary    673        447K        447K          0K          0K
[0104.32] Log:                                                                                  WeaponPartDefinition    810        436K        439K          0K          0K
[0104.32] Log:                                                                              WeaponNamePartDefinition    815        437K        437K          0K          0K
[0104.32] Log:                                                                                    GearboxDialogGroup    207        406K        406K          0K          0K
[0104.32] Log:                                                                                     MissionDefinition    267        391K        391K          0K          0K
[0104.32] Log:                                                                                ParticleModuleRequired   1801        388K        388K          0K          0K
[0104.32] Log:                                                                                   StaticMeshComponent    573        386K        387K          0K          0K
[0104.32] Log:                                                                                              Material    388        383K        383K      29436K          0K
[0104.32] Log:                                                                                  WillowDialogEventTag   5444        382K        382K          0K          0K
[0104.32] Log:                                                                                          NameProperty   2954        369K        369K          0K          0K
[0104.32] Log:                                                                                                  Font     10        357K        357K       6478K          0K
[0104.32] Log:                                                                                   ParticleModuleSpawn   1702        352K        352K          0K          0K
[0104.32] Log:                                                                                WillowPopulationMaster      1          0K        328K          0K          0K
[0104.32] Log:                                                                            MissionObjectiveDefinition   1555        320K        320K          0K          0K
[0104.33] Log:                                                                                    ItemPoolDefinition   1472        294K        294K          0K          0K
[0104.33] Log:                                                                        ParticleModuleSizeMultiplyLife   1181        283K        283K          0K          0K
[0104.33] Log:                                                                               ParticleSystemComponent    142        158K        280K        225K         71K
[0104.33] Log:                                                                                             Texture2D   1221        267K        267K     367251K      98996K
[0104.33] Log:                                                                                          ScriptStruct   1339        263K        263K          0K          0K
[0104.33] Log:                                                                               CustomizationDefinition   1102        261K        261K          0K          0K
[0104.33] Log:                                                                                  WillowDialogAct_Talk   1339        239K        239K          0K          0K
[0104.33] Log:                                                                                    ParticleModuleSize   1711        239K        239K          0K          0K
[0104.33] Log:                                                                            InventoryBalanceDefinition   1278        219K        219K          0K          0K
[0104.33] Log:                                                                           Behavior_TriggerDialogEvent   2155        218K        218K          0K          0K
[0104.33] Log:                                                                                ItemNamePartDefinition    681        218K        218K          0K          0K
[0104.33] Log:                                                                                 ParticleSpriteEmitter   1984        215K        215K          0K          0K
[0104.33] Log:                                                                                               Terrain      2        205K        205K        249K          0K
[0104.33] Log:                                                                      ItemPartListCollectionDefinition    316        192K        192K          0K          0K
[0104.33] Log:                                                                           ParticleModuleColorOverLife    779        181K        181K          0K          0K
[0104.33] Log:                                                                                    ClassModDefinition    114        171K        171K          0K          0K
[0104.33] Log:                                                                                   ChallengeDefinition    331        156K        156K          0K          0K
[0104.33] Log:                                                                                                 Const   1781        154K        154K          0K          0K
[0104.33] Log:                                                                                ParticleModuleLifetime   1365        153K        153K          0K          0K
[0104.33] Log:                                                                                     InterfaceProperty   1021        135K        135K          0K          0K
[0104.33] Log:                                                                      ParticleModuleColorScaleOverLife    595        132K        132K          0K          0K
[0104.33] Log:                                                                                      DelegateProperty    968        128K        128K          0K          0K
[0104.33] Log:                                                                                   ParticleModuleColor    726        127K        127K          0K          0K
[0104.33] Log:                                                                                ParticleModuleVelocity    661        127K        127K          0K          0K
[0104.33] Log:                                                                                          RB_BodySetup    120        121K        121K          0K          0K
[0104.33] Log:                                                                           Behavior_MissionRemoteEvent   1347        115K        115K          0K          0K
[0104.33] Log:                                                                          ChallengeConditionDefinition    719        115K        115K          0K          0K
[0104.33] Log:                                                                                  WeaponTypeDefinition     33        114K        114K          0K          0K
[0104.33] Log:                                                                                     ComponentProperty    854        113K        113K          0K          0K
[0104.33] Log:                                                                                            PackageMap      2        103K        111K          0K          0K
[0104.33] Log:                                                                                 GameBalanceDefinition     24        107K        107K          0K          0K
[0104.33] Log:                                                                          Behavior_AdvanceObjectiveSet   1335        104K        104K          0K          0K
[0104.33] Log:                                                                                     WillowAkComponent    200        101K        101K          0K          0K
[0104.33] Log:                                                                                                  Enum    790         98K         99K          0K          0K
[0104.33] Log:                                                                                  ProjectileDefinition    105         97K         97K          0K          0K
[0104.33] Log:                                                                                        ParticleSystem    350         94K         94K         94K          0K
[0104.33] Log:                                                                                      ShieldDefinition     42         85K         85K          0K          0K
[0104.33] Log:                                                                                   PackageAssetLibrary     78         84K         84K          0K          0K
[0104.33] Log:                                                                                         ClassProperty    617         81K         81K          0K          0K
[0104.33] Log:                                                                                     CylinderComponent    150         79K         79K          0K          0K
[0104.33] Log:                                                                                                 State    163         73K         75K          0K          0K
[0104.33] Log:                                                                        ParticleModuleParameterDynamic    199         74K         74K          0K          0K
[0104.33] Log:                                                                      WillowUIDataStore_StringAliasMap      1         72K         72K          0K          0K
[0104.33] Log:                                                                                  FiringModeDefinition    138         70K         70K          0K          0K
[0104.33] Log:                                                                                  CreditsGFxDefinition      1         70K         70K          0K          0K
[0104.33] Log:                                                                                      ObjectReferencer     42         65K         65K          0K          0K
[0104.33] Log:                                                                                    ArtifactDefinition     45         61K         61K          0K          0K
[0104.33] Log:                                                                                ParticleModuleLocation    467         60K         60K          0K          0K
[0104.33] Log:                                                                                FloatAttributeProperty    454         60K         60K          0K          0K
[0104.33] Log:                                                                                ParticleModuleRotation    522         59K         59K          0K          0K
[0104.33] Log:                                                                                      Behavior_Explode    218         59K         59K          0K          0K
[0104.33] Log:                                                                                   WillowDialogNameTag    318         59K         59K          0K          0K
[0104.33] Log:                                                                                   ParticleModuleSubUV    408         56K         56K          0K          0K
[0104.33] Log:                                                                                                 Level      1         53K         53K          0K          0K
[0104.33] Log:                                                                                  Behavior_RemoteEvent    621         53K         53K          0K          0K
[0104.33] Log:                                                            Behavior_ChangeRemoteBehaviorSequenceState    372         52K         52K          0K          0K
[0104.33] Log:                                                                               WillowAnimNodeAimOffset      2         51K         51K          0K          0K
[0104.33] Log:                                                                             GearLikenessMeshComponent     28         49K         50K          6K          6K
[0104.33] Log:                                                                 ParticleModuleLocationPrimitiveSphere    228         50K         50K          0K          0K
[0104.33] Log:                                                                DownloadableFixupAIPawnNamesDefinition      1         49K         49K          0K          0K
[0104.33] Log:                                                                                       SkillDefinition     89         46K         48K          0K          0K
[0104.33] Log:                                                                                   AttributeDefinition    469         47K         47K          0K          0K
[0104.33] Log:                                                                                           ShadowMap2D    436         47K         47K          0K          0K
[0104.33] Log:                                                                     AttributeInitializationDefinition    177         47K         47K          0K          0K
[0104.33] Log:                                                                                  UsableItemDefinition     44         47K         47K          0K          0K
[0104.33] Log:                                                                              Behavior_SpawnProjectile    125         47K         47K          0K          0K
[0104.33] Log:                                                                            ParticleModuleAcceleration    290         43K         43K          0K          0K
[0104.33] Log:                                                                                    SkeletalMeshSocket    390         42K         42K          0K          0K
[0104.33] Log:                                                                                  ShieldPartDefinition    139         42K         42K          0K          0K
[0104.33] Log:                                                                                ItemPartListDefinition    154         41K         41K          0K          0K
[0104.33] Log:                                                                              GrenadeModPartDefinition    129         41K         41K          0K          0K
[0104.33] Log:                                                                     MaterialExpressionVectorParameter    372         40K         40K          0K          0K
[0104.33] Log:                                                                        WillowPhysicalMaterialProperty     18         39K         39K          0K          0K
[0104.33] Log:                                                                                  GrenadeModDefinition     17         38K         38K          0K          0K
[0104.33] Log:                                                                            ParticleModuleRotationRate    328         38K         38K          0K          0K
[0104.33] Log:                                                                                       InterpTrackMove     44         38K         38K          0K          0K
[0104.33] Log:                                                                                                 Model      8         37K         37K         37K          0K
[0104.33] Log:                                                                               WeaponBalanceDefinition    326         37K         37K          0K          0K
[0104.33] Log:                                                                               ParticleModuleSizeScale    172         37K         37K          0K          0K
