[1342.46] Log: Obj List: obj list
[1342.46] Log: Objects:
[1342.46] Log: 
[1342.84] Log:                                                                                                 Class  Count   NumBytes   MaxBytes   ResBytes TrueResBytes
[1342.84] Log:                                                                                          SkeletalMesh     45      12381K      12381K      12381K          0K
[1342.84] Log:                                                                                              Function  21576       6733K       7152K          0K          0K
[1342.84] Log:                                                                                            StaticMesh    379       5363K       5363K       5363K          0K
[1342.84] Log:                                                                                               Package   4790       4146K       4146K          0K          0K
[1342.84] Log:                                                                                          AnimSequence    963       3963K       3963K       3739K          0K
[1342.84] Log:                                                                                                 Class   3611       2334K       2357K          0K          0K
[1342.84] Log:                                                                                   StaticMeshComponent   2473       2072K       2099K          0K          0K
[1342.84] Log:                                                                                        ObjectProperty  14740       1727K       1727K          0K          0K
[1342.84] Log:                                                                                              SwfMovie    134       1490K       1490K          0K          0K
[1342.84] Log:                                                                                          BoolProperty  12198       1429K       1429K          0K          0K
[1342.84] Log:                                                                                        StructProperty  12166       1425K       1425K          0K          0K
[1342.84] Log:                                                                              MaterialInstanceConstant   1540       1114K       1133K          0K          0K
[1342.84] Log:                                                                                                 Level      6       1012K       1013K          0K          0K
[1342.84] Log:                                                                                         FloatProperty   7859        920K        920K          0K          0K
[1342.84] Log:                                                                                      ParticleLODLevel   4908        904K        904K          0K          0K
[1342.84] Log:                                                                            BehaviorProviderDefinition    795        849K        857K          0K          0K
[1342.84] Log:                                                                                 SkeletalMeshComponent    386        783K        821K        118K        118K
[1342.84] Log:                                                                                           ShaderCache     10        707K        798K          0K          0K
[1342.84] Log:                                                                                           IntProperty   6557        768K        768K          0K          0K
[1342.84] Log:                                                                               ParticleSystemComponent    434        434K        644K        316K         66K
[1342.84] Log:                                                                    WeaponPartListCollectionDefinition    630        622K        624K          0K          0K
[1342.84] Log:                                                                                           StrProperty   4623        541K        541K          0K          0K
[1342.84] Log:                                                                                              Material    527        532K        532K     128537K          0K
[1342.84] Log:                                                                              WeaponNamePartDefinition    947        524K        524K          0K          0K
[1342.84] Log:                                                                                ParticleModuleRequired   2303        515K        515K          0K          0K
[1342.84] Log:                                                                                   ParticleModuleSpawn   2396        511K        511K          0K          0K
[1342.84] Log:                                                                                  WeaponPartDefinition    890        496K        497K          0K          0K
[1342.84] Log:                                                                                         ArrayProperty   4070        476K        476K          0K          0K
[1342.84] Log:                                                                                          ByteProperty   3953        463K        463K          0K          0K
[1342.84] Log:                                                                         DownloadableContentEnumerator      1        450K        462K          0K          0K
[1342.84] Log:                                                                     UsableCustomizationItemDefinition    742        460K        460K          0K          0K
